	OG	KO.id	KO.description	L1_Col	L1_TSB	L1_FC	DEG	Plant Associated
cds1075	OG0000874	K03470	rnhB; ribonuclease HII [EC:3.1.26.4]	7.47880394871128	10.7309520508564	-2.64721791239963	down	nonPA
cds1076	OG0000380	K03100	lepB; signal peptidase I [EC:3.4.21.89]	6.7761826042746	6.56676823692197	0.802042806030611	nonDEG	nonPA
cds1077	OG0000971	K02884	RP-L19; large subunit ribosomal protein L19	6.68996933686254	3.97080071712483	2.42171642165046	nonDEG	nonPA
cds1078				5.48460968093755	5.42514974452914	0.193200932640211	nonDEG	nonPA
cds1079	OG0000009	K07687	rcsB; two-component system, NarL family, captular synthesis response regulator RcsB	7.08573634370118	5.06422614750531	2.75182993958983	up	nonPA
cds108	OG0001066			5.22186093336712	6.13762683143948	-0.311519716441946	nonDEG	nonPA
cds1081	OG0001471	K03973	pspC; phage shock protein C	5.81768951454343	5.80999260412192	0.194742830314076	nonDEG	nonPA
cds1084	OG0003951	K03795	cbiX; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]	5.73203250560005	3.01155263380849	4.21150385321314	up	nonPA
cds1085	OG0002373	K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]	6.55116998926693	5.94230197703096	1.26637228152931	nonDEG	nonPA
cds1086	OG0000197	K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	7.3480314744517	5.19667131335377	2.86815343088843	up	nonPA
cds1087	OG0000221	K02303	cobA; uroporphyrin-III C-methyltransferase [EC:2.1.1.107]	7.19719407288586	2.67821930047516	4.83597341867625	up	nonPA
cds1088	OG0005094	K01719	hemD; uroporphyrinogen-III synthase [EC:4.2.1.75]	6.45780068286935	2.67821930047516	4.12166506257046	up	nonPA
cds109	OG0000391	K03827	yjaB; putative acetyltransferase [EC:2.3.1.-]	6.01186526395419	3.74017481557894	1.28777877895927	nonDEG	nonPA
cds1090	OG0000538	K00372	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	6.12446734953602	9.0197183586968	-2.11433435080554	down	nonPA
cds1092	OG0000973	K02860	rimM; 16S rRNA processing protein RimM	7.57096283829324	10.742424557981	-2.54732802597171	down	nonPA
cds1093	OG0005096	K06960	uncharacterized protein	7.96702174029275	7.04446577901035	1.56808392194767	nonDEG	nonPA
cds1095	OG0002781	K06048	gshA; glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]	8.44253278633164	9.2772592061289	-0.00859779853245456	nonDEG	PA
cds1096	OG0003972			6.39869917226671	8.71803348072551	-1.25906859372105	nonDEG	nonPA
cds1097	OG0000974	K03106	SRP54; signal recognition particle subunit SRP54 [EC:3.6.5.4]	8.15807508933981	10.0281507542443	-1.15304017051284	nonDEG	nonPA
cds1098	OG0001215	K03801	lipB; lipoyl(octanoyl) transferase [EC:2.3.1.181]	5.16521926621968	4.20654013404888	1.80554822444642	nonDEG	nonPA
cds1099	OG0000616	K03644	lipA; lipoyl synthase [EC:2.8.1.8]	6.39561052994855	7.28440670263551	-0.892051875870356	nonDEG	nonPA
cds11	OG0000546	K02167	betI; TetR/AcrR family transcriptional regulator, transcriptional repressor of bet genes	6.25391448968317	6.60806384879861	-0.0812836588426936	nonDEG	nonPA
cds110				5.40850087416182	5.37580501411511	-0.857954959468698	nonDEG	nonPA
cds1100				7.56265020437661	7.86099738927476	0.778184278643985	nonDEG	nonPA
cds1101	OG0000833	K03110	ftsY; fused signal recognition particle receptor	6.70489597663054	4.49802984002092	2.45868747249204	nonDEG	nonPA
cds1102	OG0001250	K03529	smc; chromosome segregation protein	6.31768951454343	7.03166452155098	-0.618682626491766	nonDEG	nonPA
cds1103	OG0005123			5.3065056080292	7.16508770360737	-1.24699320448961	nonDEG	nonPA
cds1104	OG0000461	K10563	mutM; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]	6.05243215619404	8.80237031134326	-2.41791333218451	nonDEG	nonPA
cds1105	OG0001059	K03685	rnc; ribonuclease III [EC:3.1.26.3]	6.66250363166291	8.89286738121011	-1.43576070261414	nonDEG	nonPA
cds1106	OG0006149	K02911	RP-L32; large subunit ribosomal protein L32	6.55519426670045	7.00255088024036	0.340654729886468	nonDEG	nonPA
cds1107	OG0004433	K07040	uncharacterized protein	8.88748284979241	8.54237943273464	0.973866022082198	nonDEG	nonPA
cds1109	OG0000846	K03655	recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]	5.18610845282537	4.23000324334601	-0.0750218963086326	nonDEG	nonPA
cds111	OG0000081	K02444	glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor	6.92307404699158	3.2261713637334	2.33531978871633	nonDEG	PA
cds1110	OG0000834	K08316	rsmD; 16S rRNA (guanine966-N2)-methyltransferase [EC:2.1.1.171]	7.49098734390259	7.99302495350997	-0.488679712078277	nonDEG	nonPA
cds1111	OG0001217	K00946	thiL; thiamine-monophosphate kinase [EC:2.7.4.16]	4.56071848771328	5.89856456039234	-2.69950278967137	nonDEG	nonPA
cds1112	OG0006150			6.02986969420249	8.04781728608626	-0.453375451839463	nonDEG	nonPA
cds1113	OG0000504	K01921	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]	5.81768951454343	7.04851088762999	-0.904447704430281	nonDEG	nonPA
cds1114	OG0000888	K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	8.6526348109678	9.50372622221732	-0.157857046381403	nonDEG	nonPA
cds1115	OG0000889	K00655	plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]	7.72269438021018	8.76074438379914	-0.222068728240549	nonDEG	nonPA
cds1116	OG0000602	K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	10.3633857876914	11.2220044843152	-0.25416460780686	nonDEG	nonPA
cds1117	OG0000574	K01704	leuD; 3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	6.70833813957955	7.72688081298663	-0.348629227926779	nonDEG	nonPA
cds1118	OG0000485	K01703	leuC; 3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	7.18394935911094	6.48539309210937	0.868189529292585	nonDEG	nonPA
cds1119				6.51698007805341	7.63305120135902	0.449516436354632	nonDEG	nonPA
cds112	OG0000814			6.07877312619431	3.6535524399939	2.5332779184791	nonDEG	nonPA
cds1121	OG0006151			9.36766270413622	8.13184642325858	1.90282731065329	up	nonPA
cds1122	OG0000307	K07029	dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	9.05536425285383	6.97798395938853	2.6897706890432	up	nonPA
cds1123	OG0002542			11.8947357824182	12.3707164275589	0.137261335150635	nonDEG	nonPA
cds1124	OG0004324			7.59804699178067	6.02154508267168	1.88250428801938	nonDEG	nonPA
cds1125	OG0000042	K03704	cspA; cold shock protein (beta-ribbon, CspA family)	6.82870266770843	4.84217033258505	2.14429496943567	nonDEG	nonPA
cds1126	OG0000738			6.70833813957955	5.3583158741504	2.22702554940381	nonDEG	nonPA
cds1127				7.43807999204664	6.28908156191821	1.83545370059391	up	nonPA
cds1128	OG0001640	K14161	imuB; protein ImuB	10.429686918331	7.23094158188169	3.82058102479704	up	PA
cds1129	OG0000225	K02337	dnaE; DNA polymerase III subunit alpha [EC:2.7.7.7]	6.48868377885791	4.33501714644672	2.74997169234148	up	nonPA
cds113	OG0001510	K13623	btaB; S-adenosylmethionine-diacylgycerolhomoserine-N-methlytransferase	4.3065056080292	4.27837547929928	0.284511423171902	nonDEG	nonPA
cds1132	OG0000390	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	5.28629187583373	7.20348012458874	-1.01621316654573	nonDEG	nonPA
cds1133	OG0000028	K11475	vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator	7.06040292812855	9.4250682061791	-2.25913660190366	nonDEG	nonPA
cds1135	OG0000792	K01885	EARS; glutamyl-tRNA synthetase [EC:6.1.1.17]	5.18868237551681	2.25720783186389	3.62291842568303	nonDEG	nonPA
cds1136	OG0000004	K04761	oxyR; LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator	7.85413991034865	7.6230704165245	1.01164142105291	nonDEG	PA
cds1137	OG0001147	K03430	phnW; 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]	8.60460048610141	8.57808582154414	0.116297815489582	nonDEG	nonPA
cds1138	OG0000111	K16165	nagK; fumarylpyruvate hydrolase [EC:3.7.1.20]	8.63752028657203	8.88479945098844	0.422362673760647	nonDEG	nonPA
cds1139	OG0000154	K00826	E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]	5.01186526395419	5.3453866421969	-1.27701723922891	nonDEG	nonPA
cds114	OG0002153			4.74189626735243	5.80927793859143	-1.02820988946254	nonDEG	nonPA
cds1140	OG0000287	K00052	leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	7.29240024994788	8.02193781307078	-0.0949373494118695	nonDEG	nonPA
cds1141	OG0004487	K08167	smvA; MFS transporter, DHA2 family, multidrug resistance protein	8.05646951269904	10.7693374410161	-1.99962492999084	down	nonPA
cds1142	OG0001162			4.59682776467534	6.16243699581057	-2.50503027764841	nonDEG	nonPA
cds1143	OG0000132	K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	6.72295061511157	7.77390998098834	-0.290204664980676	nonDEG	nonPA
cds1144				5.40850087416182	3.980516165678	0.421881807836464	nonDEG	nonPA
cds1145				5.94871834858106	5.97884347408912	0.748636332482061	nonDEG	nonPA
cds1146				6.50600853722917	4.47651642262269	2.57782600386003	up	nonPA
cds1147	OG0001894	K06201	cutC; copper homeostasis protein	7.35618248902654	4.37592243527232	3.70911865848644	up	nonPA
cds1148	OG0000041	K17317	gtsC; glucose/mannose transport system permease protein	8.36995383554464	5.13830083063455	3.88761534728484	up	nonPA
cds1149	OG0000046	K02025	ABC.MS.P; multiple sugar transport system permease protein	9.95616181936811	6.09899589809423	4.41417168652896	up	PA
cds115	OG0000706	K01505	E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]	6.56040292812855	5.7370822110496	0.851122126960746	nonDEG	nonPA
cds1150	OG0000777	K10117	msmE; raffinose/stachyose/melibiose transport system substrate-binding protein	9.80120859550294	8.16296457623083	2.32210754079782	up	PA
cds1151	OG0006241			7.26145214991422	5.24963447303053	2.34891899298776	nonDEG	nonPA
cds1152	OG0000232	K19337	hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator	6.18996933686254	5.3656579762604	0.805330177912824	nonDEG	nonPA
cds1153	OG0001891	K18676	gspK; glucosamine kinase [EC:2.7.1.8]	7.3169950063212	5.38473476490043	2.82404623484813	up	nonPA
cds1154	OG0000083	K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	8.89393691219433	9.53413666955777	-0.0360495675478932	nonDEG	nonPA
cds1155	OG0002300	K01206	FUCA; alpha-L-fucosidase [EC:3.2.1.51]	9.81708138064639	10.063005728604	0.429983611093762	nonDEG	PA
cds1156	OG0001210	K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	9.57647574970199	10.2847138817897	-0.0730920033509932	nonDEG	nonPA
cds1157	OG0001440	K01653	E2.2.1.6S; acetolactate synthase I/III small subunit [EC:2.2.1.6]	10.3538528910678	11.1611841493117	-0.177601175695793	nonDEG	nonPA
cds1158	OG0000264	K01652	E2.2.1.6L; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	6.89844338116514	9.02616848062146	-1.51795194794	down	nonPA
cds1159	OG0000644	K01687	ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]	8.80502040008176	9.96705448025966	-0.432928851945519	nonDEG	nonPA
cds1160	OG0003115	K01087	otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12]	5.48460968093755	5.94331333039417	-0.486370593186939	nonDEG	nonPA
cds1161	OG0002312	K00697	otsA; trehalose 6-phosphate synthase [EC:2.4.1.15 2.4.1.347]	7.17672722466448	7.79300396581845	0.117722461274804	nonDEG	nonPA
cds1162	OG0003993	K06606	iolI; 2-keto-myo-inositol isomerase [EC:5.3.99.11]	10.2749341409617	10.3253147526716	0.562839552274697	nonDEG	nonPA
cds1163				6.02687343312673	5.87623417480829	0.802534458675443	nonDEG	nonPA
cds1164				6.35023702865437	4.87445751233591	1.58630178213808	nonDEG	nonPA
cds1165	OG0004006	K05602	hisN; histidinol-phosphatase [EC:3.1.3.15]	5.59682776467534	4.50954891403305	0.139452531375949	nonDEG	nonPA
cds1168	OG0001369	K05564	phaG; multicomponent K+:H+ antiporter subunit G	5.18610845282537	6.63274802945927	-2.22187841184299	nonDEG	nonPA
cds1169	OG0001370	K05563	phaF; multicomponent K+:H+ antiporter subunit F	7.12934960819082	8.63405667600873	-0.858742953165054	nonDEG	nonPA
cds117				6.61017076490401	5.23991902447736	1.42234032102752	nonDEG	nonPA
cds1170	OG0001371	K05562	phaE; multicomponent K+:H+ antiporter subunit E	5.77107095354653	4.6242003811055	0.24774520861651	nonDEG	nonPA
cds1171	OG0001372	K05561	phaD; multicomponent K+:H+ antiporter subunit D	6.70833813957955	8.6348365174281	-0.589515651140089	nonDEG	nonPA
cds1172	OG0001373	K05560	phaC; multicomponent K+:H+ antiporter subunit C	8.5793129163205	8.91225036395534	0.300572938386151	nonDEG	nonPA
cds1173	OG0001374	K05559	phaA; multicomponent K+:H+ antiporter subunit A	8.42430437128366	8.82365742420053	0.225211754366937	nonDEG	nonPA
cds1174	OG0000756	K03664	smpB; SsrA-binding protein	9.96549129184948	10.5086008349962	0.109184199074884	nonDEG	nonPA
cds1175	OG0001024	K09811	ftsX; cell division transport system permease protein	7.39036187626402	8.73777822175841	-0.678541044160915	nonDEG	nonPA
cds1176	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	5.40850087416182	5.21506354907114	-0.623924542738926	nonDEG	nonPA
cds118	OG0005114			7.79398802070383	7.6171327519927	0.780780033480445	nonDEG	nonPA
cds1184	OG0006244	K12510	tadB; tight adherence protein B	7.40850087416182	3.88377642062466	2.48765995429478	nonDEG	nonPA
cds1185	OG0000512	K02283	cpaF; pilus assembly protein CpaF	7.47200355135804	4.97716494412336	3.07944912781937	up	nonPA
cds1186	OG0006179			7.90235314535917	9.80738809049774	-1.17097241424375	nonDEG	nonPA
cds1187	OG0000560	K17758	nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]	6.04650466281126	8.755503024477	-1.17308223186551	nonDEG	nonPA
cds1188				6.29599174047927	5.16832594540184	2.15996366723163	nonDEG	nonPA
cds1189	OG0000056	K19302	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]	6.40070122108167	7.40702723298814	-0.474252082105245	nonDEG	nonPA
cds119	OG0003959	K04343	strB; streptomycin 6-kinase [EC:2.7.1.72]	5.69718546479153	5.70619346165685	0.143806974037306	nonDEG	PA
cds1190	OG0000175	K16264	czcD; cobalt-zinc-cadmium efflux system protein	5.87498027186801	6.85116924337772	-0.385180403474818	nonDEG	nonPA
cds1191	OG0000832	K02428	rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66]	6.79747578234796	8.03884321513527	-0.949061032082277	nonDEG	nonPA
cds1192	OG0001283	K00989	rph; ribonuclease PH [EC:2.7.7.56]	6.93799154666468	8.10349713714631	-0.434582825842455	nonDEG	nonPA
cds1194	OG0004007	K00763	pncB; nicotinate phosphoribosyltransferase [EC:6.3.4.21]	8.20010735607391	9.05257910832979	-0.198643715726952	nonDEG	nonPA
cds1195	OG0006180			7.32917029832957	8.77075665165502	-0.740814222632579	nonDEG	nonPA
cds1196	OG0006153	K01992	ABC-2.P; ABC-2 type transport system permease protein	5.92307404699158	4.82105255350363	0.204977267256324	nonDEG	nonPA
cds1197	OG0000000	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	11.4786614099458	11.3472331253741	0.746109144772645	nonDEG	nonPA
cds1198				6.63331595436796	8.43472474495865	-1.15510668080645	nonDEG	nonPA
cds1199	OG0006245			6.46751613142252	7.59373865300594	-0.530610640776691	nonDEG	nonPA
cds12	OG0003756			7.83911061383914	8.58260340901164	0.228833093252049	nonDEG	nonPA
cds120	OG0001452	K06915	uncharacterized protein	7.01186526395419	4.63746738379149	1.33382305685309	nonDEG	PA
cds1200	OG0000665	K09690	ABC-2.LPSE.P; lipopolysaccharide transport system permease protein	6.58119510403421	4.68972725891996	2.57673409198234	up	nonPA
cds1201	OG0000474	K09691	ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein	7.80958609119681	7.33632761926351	1.43381400164978	nonDEG	nonPA
cds1202	OG0006246			6.36618073579249	6.1920526328623	0.775811703705216	nonDEG	nonPA
cds1203	OG0000014	K14335	pimC; alpha-1,6-mannosyltransferase [EC:2.4.1.-]	7.33869334906183	7.81791415191823	0.194295610832631	nonDEG	nonPA
cds1204	OG0000104	K16568	exoZ; exopolysaccharide production protein ExoZ	5.81922018601179	6.32165673405954	-1.42997798420909	nonDEG	nonPA
cds1205				7.12470790816123	6.60940234131935	-0.39875353750445	nonDEG	nonPA
cds1206	OG0001466			6.77364487623797	8.0189507677287	-0.262420333324444	nonDEG	nonPA
cds1207	OG0001535	K00995	pgsA; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	10.8633236983687	6.2798181473765	5.183915995516	up	nonPA
cds1208	OG0000032	K11936	pgaC; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]	9.66699105159843	7.68799069746272	2.61153740815778	up	nonPA
cds1209	OG0000163	K04771	degP; serine protease Do [EC:3.4.21.107]	6.57865737599759	8.06365934521427	-0.829724299451563	nonDEG	nonPA
cds121	OG0001871	K06876	deoxyribodipyrimidine photolyase-related protein	7.68424617258811	5.80875317470655	2.42824068101984	up	nonPA
